item_category_id,item_id
0,16255
1,5606
2,5643
3,13071
4,5682
5,5583
6,7894
7,8452
8,9242
9,11373
10,6669
11,13439
12,6675
13,6668
14,13423
15,7940
16,13405
17,12119
18,3315
19,3732
20,3733
21,1523
22,4233
23,3734
24,3735
25,2887
26,2757
27,7115
28,7856
29,6504
30,2808
31,3025
32,1441
33,7980
34,7967
35,5822
36,13093
37,16455
38,8093
39,16727
40,10298
41,11655
42,22102
43,8508
44,299
45,154
46,13189
47,13246
48,11517
49,806
50,16834
51,17703
52,8435
53,19700
54,805
55,13881
56,1233
57,18186
58,5341
59,5948
60,12467
61,13560
62,21488
63,15284
64,16056
65,16227
66,16832
67,10659
68,5426
69,14931
70,9355
71,20949
72,20608
73,482
74,5389
75,4181
76,492
77,700
78,688
79,17717
80,9248
81,13346
82,13354
83,22088
